id_cliente,deuda_credito,numero_dependientes,deuda_total,fecha_inicio_negocio,num_productos_financieros,edad,ingreso_aprox,cuota_mensual,dti_total,dti_credito,cuota_dti,dti_total_n,dti_credito_n,cuota_dti_n,edad_n,dependientes_n,productos_n,municipio_residencia_Ciudad de Guatemala,municipio_residencia_Escuintla,municipio_residencia_Mixco,municipio_residencia_Quetzaltenango,municipio_residencia_Villa Nueva,tipo_credito_Abasto,tipo_credito_AdquisiciÃ³n de Equipo,tipo_credito_Nuevo Negocio,tipo_credito_VehÃ­culo,tipo_negocio_AbarroterÃ­a,tipo_negocio_Manufactura,tipo_negocio_Restaurante,tipo_negocio_Salud,tipo_negocio_TecnologÃ­a,nivel_educativo_Bachillerato,nivel_educativo_Postgrado,nivel_educativo_Primaria,nivel_educativo_Secundaria,nivel_educativo_Universidad,estado_civil_Casado,estado_civil_Divorciado,estado_civil_Soltero,estado_civil_Viudo,genero_F,genero_M,genero_O,incumplimiento
11,39658.13,0,114206.11,2001-07-25,3,54,40000.5,6479.813811901853,2.8551170609653598,0.9914408569645018,0.16199332037699177,0.9517056869884533,0.33048028565483395,0.10799554691799451,0.5373134328358209,0.0,0.2857142857142857,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
12,31726.83,5,47697.98,2022-08-25,6,52,7500.0,5048.887273949981,6.359730665818702,4.2302439994359675,0.6731849697702394,1.0,1.0,0.4487899798468263,0.5074626865671642,0.5,0.7142857142857143,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
13,12490.38,1,32129.38,2015-09-21,5,24,15000.5,283.7801909945858,2.1418872702815315,0.8326642444696734,0.01891804879675129,0.7139624234271772,0.2775547481565578,0.012612032531167527,0.08955223880597014,0.1,0.5714285714285714,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
14,32282.82,2,75945.83,2020-02-10,4,54,40000.5,457.2763466305517,1.8986220171773198,0.8070604117246769,0.011431765768405893,0.6328740057257732,0.269020137241559,0.0076211771789372615,0.5373134328358209,0.2,0.42857142857142855,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
15,52442.33,4,137109.7,2007-01-02,8,57,25000.5,1906.4962010105892,5.484278314214345,2.0976512468911563,0.07625832287091582,1.0,0.6992170822970522,0.050838881913943874,0.582089552238806,0.4,1.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
16,37851.76,4,92740.18,2017-10-11,7,48,62501.25,1376.068289191175,1.4838132037121847,0.6056160476693568,0.02201665229366066,0.4946044012373949,0.20187201588978562,0.014677768195773773,0.44776119402985076,0.4,0.8571428571428571,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
17,41838.16,3,78412.38,2004-11-10,5,51,62501.25,6836.013009737863,1.2545729885201564,0.6693971720458488,0.10937402067364235,0.41819099617338545,0.2231323906819496,0.07291601378242824,0.4925373134328358,0.3,0.5714285714285714,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
18,30645.33,9,69418.08,2020-10-15,7,45,62501.25,555.1747773465689,1.1106670666408964,0.4903154736826813,0.008882618785027281,0.3702223555469655,0.16343849122756043,0.005921745856684854,0.40298507462686567,0.9,0.8571428571428571,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
19,104862.24,9,115696.98,2022-04-19,3,56,25000.5,1367.9313405434307,4.627786644082007,4.194405711717989,0.05471615929636265,1.0,1.0,0.036477439530908436,0.5671641791044776,0.9,0.2857142857142857,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
20,52493.01,3,148995.97,2023-07-08,5,33,25000.5,8353.536735351092,5.959719605369504,2.099678406347886,0.3341347867049442,1.0,0.6998928021159619,0.22275652446996277,0.22388059701492538,0.3,0.5714285714285714,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
21,36403.93,3,64085.12,0,7,59,40000.5,5893.501833125731,1.6021079736102772,0.9100868738913241,0.14733570412815827,0.5340359912034257,0.30336229129710807,0.09822380275210552,0.6119402985074627,0.3,0.8571428571428571,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
22,74777.22,10,89199.67,2017-03-13,5,27,40000.5,975.4712735176269,2.2299638753958084,1.8694071323641104,0.02438647700636843,0.7433212917986028,0.6231357107880368,0.016257651337578952,0.13432835820895522,1.0,0.5714285714285714,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
23,42567.58,8,50929.15,0,3,39,40000.5,6891.347308379914,1.2732128348077345,1.0641761977709234,0.17228152918607598,0.4244042782692448,0.3547253992569745,0.11485435279071732,0.31343283582089554,0.8,0.2857142857142857,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
24,10067.61,3,14723.24,0,3,60,62501.25,1660.9657819815493,0.23556712865365784,0.1610785384266542,0.026574921012859333,0.07852237621788595,0.053692846142218066,0.017716614008572888,0.6268656716417911,0.3,0.2857142857142857,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
25,57989.9,4,172855.51,2015-10-22,2,31,62501.25,2833.779204034159,2.765632847298804,0.9278198435882832,0.04533956047261166,0.921877615766268,0.3092732811960944,0.030226373648407773,0.19402985074626866,0.4,0.14285714285714285,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
26,22601.61,10,22971.32,2015-12-15,2,25,25000.5,3728.8386377925667,0.9188344232747812,0.9040463190374574,0.14915056249448674,0.30627814109159374,0.3013487730124858,0.09943370832965782,0.1044776119402985,1.0,0.14285714285714285,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
27,12879.53,5,19358.69,0,7,39,40000.5,2085.0921188150187,0.48396120047289504,0.32198422518913555,0.05212665138592998,0.1613204001576317,0.10732807506304519,0.03475110092395332,0.31343283582089554,0.5,0.8571428571428571,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
28,10024.49,7,10024.49,0,1,51,15000.5,1653.8515075372918,0.6682770573868686,0.6682770573868686,0.11025309205873396,0.2227590191289562,0.2227590191289562,0.07350206137248931,0.4925373134328358,0.7,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
29,18677.3,10,22187.58,2008-02-20,3,30,7500.0,664.5570861017549,2.958343999605554,2.4903066663346256,0.08860761146841963,0.9861146665351846,0.8301022221115418,0.059071740978946415,0.1791044776119403,1.0,0.2857142857142857,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
30,28144.1,9,28144.1,2005-07-19,1,42,25000.5,509.86223940788375,1.1257414851252678,1.1257414851252678,0.02039408169386571,0.3752471617084226,0.3752471617084226,0.01359605446257714,0.3582089552238806,0.9,0.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
31,32052.52,10,32425.92,0,7,21,7500.0,580.6677244601708,4.323455999423539,4.273669332763511,0.07742236325103312,1.0,1.0,0.05161490883402208,0.04477611940298507,1.0,0.8571428571428571,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
32,52965.78,4,123431.9,0,7,52,15000.5,720.0298303825488,8.228519048816471,3.530934301954539,0.04800038867601402,1.0,1.0,0.03200025911734268,0.5074626865671642,0.4,0.8571428571428571,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1
33,40229.72,4,40229.72,2022-02-13,1,22,15000.5,2048.7532208125713,2.6818919367566485,2.6818919367566485,0.13657899541188576,0.8939639789188828,0.8939639789188828,0.09105266360792384,0.05970149253731343,0.4,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
34,39306.58,7,39306.58,2017-05-12,1,50,7500.0,651.6466564193049,5.2408773326345495,5.2408773326345495,0.08688622084432249,1.0,1.0,0.05792414722954833,0.47761194029850745,0.7,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
35,42502.38,3,63875.32,2009-07-18,6,22,40000.5,641.6577992402974,1.5968630391720888,1.0625462181457095,0.01604124446505059,0.5322876797240296,0.3541820727152365,0.010694162976700394,0.05970149253731343,0.3,0.7142857142857143,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
36,44772.34,6,75643.91,2009-08-20,8,23,15000.5,7248.280211099101,5.042759241022448,2.9847231756951618,0.48320257395526134,1.0,0.9949077252317206,0.32213504930350756,0.07462686567164178,0.6,1.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
37,11092.81,0,17615.08,2015-03-18,2,32,25000.5,904.4070899528067,0.7045891081896527,0.4437035259117336,0.036175560085463535,0.23486303606321757,0.1479011753039112,0.02411704005697569,0.208955223880597,0.0,0.14285714285714285,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
38,32233.14,8,52394.82,2019-09-06,6,48,40000.5,486.62325507362584,1.3098541267906687,0.8058184272495139,0.012165429308670152,0.4366180422635562,0.26860614241650466,0.0081102862057801,0.44776119402985076,0.8,0.7142857142857143,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
39,29155.77,9,29155.77,2003-08-31,1,24,7500.0,1037.3918468521786,3.887435999481675,3.887435999481675,0.13831891289518128,1.0,1.0,0.09221260859678752,0.08955223880597014,0.9,0.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1
40,47089.2,9,122558.86,0,7,38,7500.0,903.6925090057426,16.34118133115451,6.278559999162858,0.12049233451803337,1.0,1.0,0.08032822301202225,0.29850746268656714,0.9,0.8571428571428571,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1
41,23520.95,4,23704.53,2002-11-12,2,59,62501.25,3880.5128720341504,0.3792648946960378,0.37632767344050994,0.062086964212268766,0.12642163156534594,0.1254425578135033,0.041391309474845844,0.6119402985074627,0.4,0.14285714285714285,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
42,21972.33,9,21972.33,2014-03-03,1,59,25000.5,311.2313852804949,0.878875622452396,0.878875622452396,0.012449006430593225,0.29295854081746536,0.29295854081746536,0.008299337620395484,0.6119402985074627,0.9,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
43,50043.42,5,100304.57,2001-10-11,5,39,7500.0,8256.219492531902,13.373942664883474,6.672455999110339,1.100829265524143,1.0,1.0,0.7338861770160953,0.31343283582089554,0.5,0.5714285714285714,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
44,38744.58,4,56460.98,0,3,46,25000.5,1930.1713445253038,2.258394032029024,1.549752204893912,0.0772053096717305,0.7527980106763413,0.5165840682979707,0.051470206447820334,0.417910447761194,0.4,0.2857142857142857,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
45,44763.75,1,102202.1,2014-11-08,7,55,25000.5,3577.6772480219347,4.088002239791685,1.7905141896445864,0.1431042278305966,1.0,0.5968380632148621,0.09540281855373106,0.5522388059701493,0.1,0.8571428571428571,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
46,49672.28,9,86038.67,2000-03-10,6,60,40000.5,2474.566275395402,2.1509398631979364,1.2417914775754855,0.061863383591043576,0.7169799543993122,0.41393049252516184,0.041242255727362384,0.6268656716417911,0.9,0.7142857142857143,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
47,45442.85,4,95120.09,2000-11-20,7,46,40000.5,823.2486609734796,2.3779725252839845,1.1360570492584827,0.02058095926183169,0.7926575084279949,0.3786856830861609,0.013720639507887794,0.417910447761194,0.4,0.8571428571428571,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
48,8402.34,0,15063.3,2016-02-12,2,24,7500.0,438.79984825043715,2.0084399997322078,1.120311999850625,0.05850664642559073,0.6694799999107359,0.3734373332835417,0.03900443095039382,0.08955223880597014,0.0,0.14285714285714285,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
49,93253.56,8,189104.54,0,3,55,7500.0,1235.3244873242418,25.21393866330481,12.433807998342157,0.1647099316212709,1.0,1.0,0.10980662108084727,0.5522388059701493,0.8,0.2857142857142857,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1
50,77096.38,1,85408.41,2011-09-07,8,46,25000.5,1278.1472783699874,3.4162680745018594,3.0837935240061682,0.05112486863538179,1.0,1.0,0.0340832457569212,0.417910447761194,0.1,1.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
51,37319.57,10,55458.87,2008-11-03,5,27,7500.0,926.3057589608854,7.3945159990140645,4.975942666003207,0.1235074345116504,1.0,1.0,0.0823382896744336,0.13432835820895522,1.0,0.5714285714285714,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
52,22829.43,2,60546.23,0,3,62,15000.5,1137.3130421622448,4.036280790371236,1.5219112695228885,0.07581834219435528,1.0,0.5073037565076295,0.05054556146290352,0.6567164179104478,0.2,0.2857142857142857,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
53,6708.2,5,15796.61,0,7,23,15000.5,257.9579828641954,1.0530722308554334,0.4471984266892971,0.017196625635612063,0.35102407695181115,0.1490661422297657,0.011464417090408041,0.07462686567164178,0.5,0.8571428571428571,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
54,61770.47,8,115241.64,2009-05-08,3,49,15000.5,3018.523772472932,7.682519915490649,4.1178940699231426,0.20122821054442874,1.0,1.0,0.1341521403629525,0.4626865671641791,0.8,0.2857142857142857,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
55,10132.94,2,10132.94,2007-05-01,1,55,7500.0,264.0810671134845,1.3510586664865256,1.3510586664865256,0.03521080894376982,0.4503528888288419,0.4503528888288419,0.02347387262917988,0.5522388059701493,0.2,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
56,12318.82,4,12318.82,2003-05-07,1,35,7500.0,160.6993760259639,1.642509333114332,1.642509333114332,0.02142658346727164,0.5475031110381107,0.5475031110381107,0.014284388978181094,0.2537313432835821,0.4,0.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
57,18228.36,4,27629.1,2007-09-07,8,47,25000.5,1456.8752671014288,1.105141897117852,0.7291198175744837,0.0582738452048221,0.3683806323726173,0.24303993919149458,0.03884923013654807,0.43283582089552236,0.4,1.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
58,28545.01,0,32157.79,0,2,22,15000.5,2281.418152777628,2.1437812071501763,1.9029372352986273,0.1520894738592406,0.7145937357167255,0.6343124117662091,0.10139298257282707,0.05970149253731343,0.0,0.14285714285714285,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
59,50731.4,8,112982.54,2023-07-28,3,39,40000.5,8213.00357159346,2.82452819332697,1.2682691466039608,0.205322522753169,0.9415093977756567,0.4227563822013203,0.136881681835446,0.31343283582089554,0.8,0.2857142857142857,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
60,37655.33,7,86439.08,0,4,43,40000.5,2023.9486984328332,2.1609499880711254,0.9413714828329304,0.05059808498349359,0.7203166626903751,0.31379049427764344,0.03373205665566239,0.373134328358209,0.7,0.42857142857142855,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
61,43018.95,5,103445.08,2013-11-04,6,48,15000.5,1121.1447252939665,6.896108795913729,2.867834405328633,0.07474049033160401,1.0,0.955944801776211,0.049826993554402677,0.44776119402985076,0.5,0.7142857142857143,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
62,48229.19,2,125814.13,0,3,45,40000.5,1256.9323702612196,3.1453139334971985,1.2057146785363755,0.031422916469289054,1.0,0.4019048928454585,0.020948610979526036,0.40298507462686567,0.2,0.2857142857142857,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
63,7166.07,2,7480.5,2021-07-26,3,47,15000.5,177.86835199982255,0.4986833771875148,0.4777220758989552,0.01185749488270158,0.16622779239583826,0.1592406919663184,0.00790499658846772,0.43283582089552236,0.2,0.2857142857142857,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
64,33926.77,2,95425.04,2018-08-25,6,52,62501.25,2766.081321638345,1.52677010457348,0.542817463642042,0.04425641601718507,0.50892336819116,0.18093915454734733,0.02950427734479005,0.5074626865671642,0.2,0.7142857142857143,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
65,10833.26,0,19981.84,2006-12-16,8,43,7500.0,1738.4705192250506,2.6642453329781004,1.4444346664740753,0.2317960691991006,0.8880817776593668,0.4814782221580251,0.1545307127994004,0.373134328358209,0.0,1.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
66,87014.1,2,188593.36,2002-11-23,2,37,15000.5,1442.5688352010031,12.572471583442386,5.800746641391904,0.0961680500719866,1.0,1.0,0.0641120333813244,0.2835820895522388,0.2,0.14285714285714285,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
67,12841.62,8,20552.6,0,5,49,25000.5,456.9178549691493,0.8220875582159521,0.5136545268889161,0.018276348671061496,0.27402918607198407,0.1712181756296387,0.01218423244737433,0.4626865671641791,0.8,0.5714285714285714,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
68,60434.76,7,83330.19,2000-05-12,3,57,7500.0,4595.179081004878,11.110691998518574,8.057967998925605,0.6126905440522916,1.0,1.0,0.40846036270152775,0.582089552238806,0.7,0.2857142857142857,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
69,77559.88,6,226216.0,2015-08-12,7,21,40000.5,1311.208405569278,5.655329308242264,1.9389727627919908,0.03277980039090757,1.0,0.646324254263997,0.021853200260605044,0.04477611940298507,0.6,0.8571428571428571,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
70,66553.82,0,102747.53,2018-01-29,3,43,7500.0,1157.6517011971064,13.699670664840044,8.873842665483489,0.1543535601390337,1.0,1.0,0.10290237342602247,0.373134328358209,0.0,0.2857142857142857,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
71,28231.4,6,55755.04,0,5,33,25000.5,1517.4191090564557,2.2301569967708583,1.1292334152865249,0.060695550448821425,0.7433856655902861,0.3764111384288416,0.040463700299214284,0.22388059701492538,0.6,0.5714285714285714,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
72,21074.5,3,32641.73,2014-11-16,3,62,25000.5,3476.8949029810274,1.3056430870860325,0.8429631407034673,0.1390730146533851,0.43521436236201083,0.28098771356782243,0.09271534310225672,0.6567164179104478,0.3,0.2857142857142857,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
73,53217.32,3,126228.32,2012-12-08,7,37,40000.5,4046.3986035692283,3.1556685540641825,1.3304163697621176,0.1011587006029442,1.0,0.44347212325403923,0.06743913373529613,0.2835820895522388,0.3,0.8571428571428571,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
74,89207.69,4,223858.85,2014-07-24,2,48,40000.5,1508.123584600007,5.596401294843904,2.230164372889585,0.037702618331328465,1.0,0.7433881242965282,0.02513507888755231,0.44776119402985076,0.4,0.14285714285714285,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1
75,26197.33,2,26197.33,0,1,57,40000.5,952.3815994652934,0.6549250634203342,0.6549250634203342,0.023809242370507473,0.21830835447344474,0.21830835447344474,0.01587282824700498,0.582089552238806,0.2,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
76,28732.74,9,57043.48,2023-08-15,3,32,62501.25,1404.0764587739448,0.9126774264368684,0.4597146456997306,0.02246477404454279,0.3042258088122895,0.15323821523324352,0.014976516029695193,0.208955223880597,0.9,0.2857142857142857,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
77,74812.58,6,217600.34,0,7,41,15000.5,1301.3062311391425,14.50620579217318,4.987339088364565,0.08675085704159138,1.0,1.0,0.057833904694394256,0.34328358208955223,0.6,0.8571428571428571,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
78,17210.29,6,22341.89,2008-01-12,7,23,62501.25,299.3594955759739,0.3574630907324659,0.275359132812938,0.004789656136016228,0.11915436357748864,0.09178637760431267,0.003193104090677485,0.07462686567164178,0.6,0.8571428571428571,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
79,18843.48,5,42564.04,2010-04-22,2,53,7500.0,1506.03783124045,5.675205332576639,2.5124639996650044,0.20080504413861933,1.0,0.8374879998883348,0.13387002942574622,0.5223880597014925,0.5,0.14285714285714285,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1
80,38088.48,10,100788.53,2013-03-08,4,38,7500.0,6166.216294406421,13.43847066487487,5.078463999322872,0.8221621724779011,1.0,1.0,0.5481081149852675,0.29850746268656714,1.0,0.42857142857142855,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
